rank,name,platform,year,global_sales
1,Wii Sports,Wii,2006.0,82.74
2,Super Mario Bros.,NES,1985.0,40.24
3,Mario Kart Wii,Wii,2008.0,35.82
4,Wii Sports Resort,Wii,2009.0,33.0
5,Pokemon Red/Pokemon Blue,GB,1996.0,31.37
6,Tetris,GB,1989.0,30.26
7,New Super Mario Bros.,DS,2006.0,30.01
8,Wii Play,Wii,2006.0,29.02
9,New Super Mario Bros. Wii,Wii,2009.0,28.62
10,Duck Hunt,NES,1984.0,28.31
11,Nintendogs,DS,2005.0,24.76
12,Mario Kart DS,DS,2005.0,23.42
13,Pokemon Gold/Pokemon Silver,GB,1999.0,23.1
14,Wii Fit,Wii,2007.0,22.72
15,Wii Fit Plus,Wii,2009.0,22.0
16,Kinect Adventures!,X360,2010.0,21.82
17,Grand Theft Auto V,PS3,2013.0,21.4
18,Grand Theft Auto: San Andreas,PS2,2004.0,20.81
19,Super Mario World,SNES,1990.0,20.61
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,20.22
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,18.36
22,Super Mario Land,GB,1989.0,18.14
23,Super Mario Bros. 3,NES,1988.0,17.28
24,Grand Theft Auto V,X360,2013.0,16.38
25,Grand Theft Auto: Vice City,PS2,2002.0,16.15
26,Pokemon Ruby/Pokemon Sapphire,GBA,2002.0,15.85
27,Pokemon Black/Pokemon White,DS,2010.0,15.32
28,Brain Age 2: More Training in Minutes a Day,DS,2005.0,15.3
29,Gran Turismo 3: A-Spec,PS2,2001.0,14.98
30,Call of Duty: Modern Warfare 3,X360,2011.0,14.76
31,Pokémon Yellow: Special Pikachu Edition,GB,1998.0,14.64
32,Call of Duty: Black Ops,X360,2010.0,14.64
33,Pokemon X/Pokemon Y,3DS,2013.0,14.35
34,Call of Duty: Black Ops 3,PS4,2015.0,14.24
35,Call of Duty: Black Ops II,PS3,2012.0,14.03
36,Call of Duty: Black Ops II,X360,2012.0,13.73
37,Call of Duty: Modern Warfare 2,X360,2009.0,13.51
38,Call of Duty: Modern Warfare 3,PS3,2011.0,13.46
39,Grand Theft Auto III,PS2,2001.0,13.1
40,Super Smash Bros. Brawl,Wii,2008.0,13.04
41,Call of Duty: Black Ops,PS3,2010.0,12.73
42,Animal Crossing: Wild World,DS,2005.0,12.27
43,Mario Kart 7,3DS,2011.0,12.21
44,Halo 3,X360,2007.0,12.14
45,Grand Theft Auto V,PS4,2014.0,11.98
46,Pokemon HeartGold/Pokemon SoulSilver,DS,2009.0,11.9
47,Super Mario 64,N64,1996.0,11.89
48,Gran Turismo 4,PS2,2004.0,11.66
49,Super Mario Galaxy,Wii,2007.0,11.52
50,Pokemon Omega Ruby/Pokemon Alpha Sapphire,3DS,2014.0,11.33
